sgc_amount,payment_made,pay_period_from,pay_period_to,employee_code
658.84,2018-02-08T00:00:00,2018-01-01T00:00:00,2018-01-28T00:00:00,1963
658.84,2018-06-28T00:00:00,2018-05-21T00:00:00,2018-06-17T00:00:00,1963
658.84,2018-04-09T00:00:00,2018-02-26T00:00:00,2018-03-25T00:00:00,1963
658.84,2017-11-01T00:00:00,2017-09-25T00:00:00,2017-10-22T00:00:00,1963
983.39,2017-08-09T00:00:00,2017-06-19T00:00:00,2017-07-30T00:00:00,1963
988.26,2018-01-10T00:00:00,2017-11-20T00:00:00,2017-12-31T00:00:00,1963
658.84,2018-05-03T00:00:00,2018-03-26T00:00:00,2018-04-22T00:00:00,1963
658.84,2017-09-06T00:00:00,2017-07-31T00:00:00,2017-08-27T00:00:00,1963
744.49,2017-11-30T00:00:00,2017-10-23T00:00:00,2017-11-19T00:00:00,1963
658.84,2017-10-04T00:00:00,2017-08-28T00:00:00,2017-09-24T00:00:00,1963
